step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,9.98353,0,0,0,0,0,0
25,kimi,10.0293,0,0,0,0,0,0
25,srd,9.98413,0,0.942421,0.912783,0.938121,0.935373,0
25,srd_f,10.0039,0,0.923546,0.919942,0.921133,0.921721,0
50,exact,5.37356,0,0,0,0,0,0
50,kimi,5.60503,0,0,0,0,0,0
50,srd,5.07402,0,0.952362,0.854637,0.930158,0.920752,0
50,srd_f,9.21594,0,0.882178,0.882199,0.884777,0.883366,0
75,exact,5.09908,0,0,0,0,0,0
75,kimi,5.08726,0,0,0,0,0,0
75,srd,5.05872,0,0.951766,0.765056,0.923841,0.910054,0
75,srd_f,9.03794,0,0.875457,0.86731,0.86689,0.866452,0
100,exact,4.89071,0.0625,0,0,0,0,0
100,kimi,4.67008,0.0625,0,0,0,0,0
100,srd,4.42054,0.0625,0.950716,0.641826,0.924903,0.910525,0
100,srd_f,5.03604,0,0.865783,0.860786,0.865613,0.857707,0
125,exact,4.91639,0,0,0,0,0,0
125,kimi,4.31913,0.03125,0,0,0,0,0
125,srd,4.23955,0,0.947289,0.496639,0.918438,0.902754,0
125,srd_f,4.79845,0.03125,0.833192,0.835047,0.839755,0.834599,0
150,exact,4.93009,0.0625,0,0,0,0,0
150,kimi,4.40319,0.0625,0,0,0,0,0
150,srd,4.39269,0.0625,0.944843,0.390488,0.911954,0.895768,0
150,srd_f,4.70209,0.0625,0.836262,0.828658,0.821943,0.829275,0
175,exact,4.99645,0,0,0,0,0,0
175,kimi,4.30463,0,0,0,0,0,0
175,srd,4.29649,0.03125,0.943053,0.342355,0.908051,0.891098,0
175,srd_f,4.74225,0.03125,0.808031,0.807258,0.811661,0.806272,0
200,exact,4.7487,0.0625,0,0,0,0,0
200,kimi,4.17932,0.0625,0,0,0,0,0
200,srd,4.19466,0.0625,0.941493,0.31738,0.904155,0.886063,0
200,srd_f,4.43864,0.0625,0.817643,0.819767,0.822756,0.821445,0
225,exact,4.27755,0.03125,0,0,0,0,0
225,kimi,4.23364,0.03125,0,0,0,0,0
225,srd,4.25772,0.03125,0.940127,0.31209,0.901048,0.881934,0
225,srd_f,4.32856,0,0.807392,0.804647,0.800119,0.804552,0
250,exact,4.72163,0,0,0,0,0,0
250,kimi,4.35737,0,0,0,0,0,0
250,srd,4.36743,0,0.938873,0.302996,0.897533,0.877653,0
250,srd_f,4.39861,0,0.791583,0.797277,0.796913,0.795339,0
275,exact,4.29486,0.03125,0,0,0,0,0
275,kimi,4.2075,0,0,0,0,0,0
275,srd,4.22556,0,0.937842,0.296982,0.893918,0.873375,0
275,srd_f,4.29267,0.03125,0.77697,0.778216,0.778681,0.78049,0
300,exact,4.29428,0.03125,0,0,0,0,0
300,kimi,4.26985,0.03125,0,0,0,0,0
300,srd,4.28285,0.03125,0.936738,0.294792,0.889721,0.868269,0
300,srd_f,4.29217,0.03125,0.778953,0.770185,0.778489,0.770165,0
325,exact,4.18828,0.0625,0,0,0,0,0
325,kimi,4.16623,0,0,0,0,0,0
325,srd,4.17885,0,0.93566,0.291404,0.885658,0.86298,0
325,srd_f,4.16913,0,0.758468,0.761178,0.751825,0.758476,0
350,exact,4.22012,0.03125,0,0,0,0,0
350,kimi,4.19503,0,0,0,0,0,0
350,srd,4.20213,0,0.934391,0.292434,0.880946,0.857392,0
350,srd_f,4.21503,0,0.77949,0.778214,0.773508,0.781163,0
375,exact,4.21768,0.03125,0,0,0,0,0
375,kimi,4.1793,0.03125,0,0,0,0,0
375,srd,4.18876,0,0.93344,0.289463,0.875165,0.850858,0
375,srd_f,4.18887,0.03125,0.749015,0.753998,0.754259,0.752046,0
400,exact,4.24548,0,0,0,0,0,0
400,kimi,4.22174,0,0,0,0,0,0
400,srd,4.22842,0,0.932038,0.287204,0.869829,0.845082,0
400,srd_f,4.2294,0,0.741393,0.746608,0.75234,0.744497,0
