step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,4.84129,0,0,0,0,0,0
25,kimi,4.83815,0,0,0,0,0,0
25,srd,4.8401,0,0.917316,0.897224,0.872605,0.87005,0.923623
25,srd_f,4.84121,0,0.908124,0.90945,0.910328,0.910132,0.90905
50,exact,4.8394,0,0,0,0,0,0
50,kimi,4.82154,0,0,0,0,0,0
50,srd,4.82337,0,0.810791,0.782075,0.750207,0.747626,0.871066
50,srd_f,4.80639,0,0.87181,0.875541,0.875988,0.875871,0.878332
75,exact,4.89384,0,0,0,0,0,0
75,kimi,4.81358,0,0,0,0,0,0
75,srd,4.82092,0.03125,0.677158,0.702972,0.673076,0.681854,0.843221
75,srd_f,4.82296,0,0.858248,0.861858,0.859069,0.864314,0.858741
100,exact,4.80934,0.03125,0,0,0,0,0
100,kimi,4.80327,0,0,0,0,0,0
100,srd,4.80995,0,0.47121,0.548392,0.531342,0.541906,0.787558
100,srd_f,4.88455,0.03125,0.849639,0.848135,0.847036,0.846486,0.848606
125,exact,4.78204,0,0,0,0,0,0
125,kimi,4.7736,0,0,0,0,0,0
125,srd,4.77532,0,0.351222,0.449435,0.443778,0.44938,0.751341
125,srd_f,4.77622,0,0.81684,0.818081,0.814583,0.816516,0.816306
150,exact,4.80636,0,0,0,0,0,0
150,kimi,4.80491,0,0,0,0,0,0
150,srd,4.79896,0,0.339702,0.409662,0.398213,0.404976,0.73053
150,srd_f,4.80158,0,0.79801,0.804847,0.799398,0.804061,0.80208
175,exact,4.8256,0,0,0,0,0,0
175,kimi,4.83365,0,0,0,0,0,0
175,srd,4.83875,0,0.314978,0.367248,0.351572,0.358801,0.704929
175,srd_f,4.83677,0,0.788766,0.794233,0.793658,0.793509,0.791652
200,exact,4.76716,0.03125,0,0,0,0,0
200,kimi,4.77561,0,0,0,0,0,0
200,srd,4.77194,0.03125,0.304412,0.347119,0.329616,0.33673,0.678814
200,srd_f,4.7789,0,0.819888,0.807809,0.80668,0.80677,0.804654
225,exact,4.82393,0,0,0,0,0,0
