step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,7.81634,0,0,0,0,0,0
25,kimi,5.88641,0,0,0,0,0,0
25,srd,5.13633,0.09375,0.936552,0.911367,0.910042,0.915882,0
25,srd_f,8.68746,0,0.916598,0.916367,0.916099,0.915622,0
50,exact,3.11522,0,0,0,0,0,0
50,kimi,3.15151,0,0,0,0,0,0
50,srd,2.90227,0.09375,0.94849,0.86181,0.876711,0.891282,0
50,srd_f,2.91644,0.0625,0.881108,0.881511,0.875839,0.876676,0
75,exact,3.45555,0,0,0,0,0,0
75,kimi,2.91252,0.09375,0,0,0,0,0
75,srd,3.50183,0,0.95155,0.793275,0.846372,0.867907,0
75,srd_f,3.70057,0.03125,0.873575,0.869684,0.872538,0.867862,0
100,exact,2.91146,0.03125,0,0,0,0,0
100,kimi,2.37743,0.03125,0,0,0,0,0
100,srd,3.341,0,0.949258,0.711538,0.78671,0.816775,0
100,srd_f,2.92238,0.03125,0.854572,0.852558,0.846988,0.855241,0
125,exact,2.79347,0.03125,0,0,0,0,0
125,kimi,2.1371,0.09375,0,0,0,0,0
125,srd,3.17569,0,0.946103,0.619494,0.766718,0.797479,0
125,srd_f,3.1072,0,0.834409,0.832463,0.831547,0.843626,0
150,exact,2.64606,0.21875,0,0,0,0,0
150,kimi,2.05907,0.28125,0,0,0,0,0
150,srd,2.32275,0.28125,0.81919,0.492698,0.748642,0.787488,0
150,srd_f,2.12651,0.28125,0.829542,0.82758,0.828612,0.829964,0
175,exact,2.14065,0.15625,0,0,0,0,0
175,kimi,2.09875,0.09375,0,0,0,0,0
175,srd,2.09553,0.09375,0.795621,0.391795,0.731446,0.772989,0
175,srd_f,2.08025,0.25,0.813826,0.812259,0.821432,0.814575,0
200,exact,2.33749,0.15625,0,0,0,0,0
200,kimi,2.29651,0.15625,0,0,0,0,0
200,srd,2.3244,0.15625,0.79015,0.331522,0.704948,0.749863,0
200,srd_f,2.32025,0.15625,0.812549,0.823306,0.825429,0.829197,0
225,exact,2.22519,0.03125,0,0,0,0,0
225,kimi,2.18726,0.03125,0,0,0,0,0
225,srd,2.21001,0.03125,0.76201,0.314102,0.690582,0.736429,0
225,srd_f,2.18233,0.03125,0.810519,0.798032,0.790323,0.81088,0
250,exact,2.31542,0.15625,0,0,0,0,0
250,kimi,2.2575,0.15625,0,0,0,0,0
250,srd,2.28365,0.15625,0.75647,0.302858,0.673843,0.721567,0
250,srd_f,2.25374,0.15625,0.821478,0.820473,0.818356,0.821642,0
275,exact,2.17788,0.15625,0,0,0,0,0
275,kimi,2.1659,0.03125,0,0,0,0,0
275,srd,2.17057,0.09375,0.744382,0.293835,0.658238,0.707126,0
275,srd_f,2.17556,0.03125,0.827731,0.814728,0.816876,0.814365,0
300,exact,2.0827,0.09375,0,0,0,0,0
300,kimi,2.08243,0.09375,0,0,0,0,0
300,srd,2.08775,0.09375,0.736838,0.293762,0.641054,0.692268,0
300,srd_f,2.07121,0.09375,0.802316,0.790882,0.796977,0.789602,0
325,exact,2.17868,0.15625,0,0,0,0,0
