step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
25,exact,8.05128,0,0,0,0,0,0
25,kimi,8.04587,0,0,0,0,0,0
25,srd,8.09726,0,0.947201,0.944697,0.944835,0.945386,0
25,srd_f,8.07481,0,0.945482,0.945722,0.946282,0.946005,0
50,exact,3.33932,0,0,0,0,0,0
50,kimi,3.23764,0.125,0,0,0,0,0
50,srd,3.29644,0.09375,0.945447,0.931195,0.929752,0.933127,0
50,srd_f,3.30787,0.09375,0.936367,0.93584,0.936568,0.935021,0
75,exact,2.90408,0.09375,0,0,0,0,0
75,kimi,2.67111,0.09375,0,0,0,0,0
75,srd,2.88265,0.09375,0.939593,0.908009,0.902324,0.911265,0
75,srd_f,2.94745,0.09375,0.918444,0.919485,0.921432,0.919466,0
100,exact,2.36835,0.03125,0,0,0,0,0
100,kimi,2.309,0.03125,0,0,0,0,0
100,srd,2.39228,0.03125,0.938,0.881033,0.887617,0.900125,0
100,srd_f,2.39737,0.03125,0.904475,0.902788,0.899917,0.901069,0
125,exact,2.24326,0.15625,0,0,0,0,0
125,kimi,2.22418,0.15625,0,0,0,0,0
125,srd,2.24639,0.15625,0.937294,0.845417,0.879687,0.893373,0
125,srd_f,2.25524,0.15625,0.896006,0.889689,0.886054,0.896601,0
150,exact,2.09519,0.28125,0,0,0,0,0
150,kimi,2.08133,0.28125,0,0,0,0,0
150,srd,2.09334,0.28125,0.93713,0.803181,0.871321,0.886391,0
150,srd_f,2.09384,0.28125,0.873471,0.881943,0.878938,0.880907,0
175,exact,2.17674,0.125,0,0,0,0,0
175,kimi,2.16672,0.15625,0,0,0,0,0
175,srd,2.174,0.15625,0.935759,0.748003,0.864026,0.879723,0
175,srd_f,2.17433,0.15625,0.871091,0.876969,0.881201,0.879139,0
200,exact,2.21991,0.15625,0,0,0,0,0
200,kimi,2.21022,0.15625,0,0,0,0,0
200,srd,2.22385,0.15625,0.93193,0.670639,0.85417,0.870792,0
200,srd_f,2.22356,0.15625,0.862911,0.873766,0.880155,0.873429,0
225,exact,2.23787,0.03125,0,0,0,0,0
225,kimi,2.23499,0.03125,0,0,0,0,0
225,srd,2.24553,0.03125,0.926592,0.566491,0.841951,0.860078,0
225,srd_f,2.24388,0.03125,0.877065,0.871201,0.866133,0.877952,0
250,exact,2.1846,0.15625,0,0,0,0,0
250,kimi,2.17505,0.15625,0,0,0,0,0
250,srd,2.18627,0.15625,0.921604,0.447101,0.831362,0.850181,0
250,srd_f,2.18283,0.15625,0.874447,0.869726,0.869728,0.873013,0
275,exact,2.23803,0.03125,0,0,0,0,0
275,kimi,2.23767,0.03125,0,0,0,0,0
275,srd,2.24785,0.03125,0.917121,0.344083,0.821086,0.841055,0
275,srd_f,2.24245,0.03125,0.87095,0.867526,0.868565,0.863697,0
300,exact,2.08217,0.09375,0,0,0,0,0
300,kimi,2.07383,0.09375,0,0,0,0,0
300,srd,2.08339,0.09375,0.914284,0.293282,0.813215,0.833897,0
300,srd_f,2.08137,0.09375,0.86415,0.86638,0.868871,0.868734,0
325,exact,2.1404,0.09375,0,0,0,0,0
325,kimi,2.1408,0.09375,0,0,0,0,0
325,srd,2.14643,0.09375,0.912575,0.283977,0.805746,0.82776,0
325,srd_f,2.14472,0.09375,0.862967,0.865558,0.866705,0.868315,0
350,exact,2.07076,0.15625,0,0,0,0,0
350,kimi,2.06903,0.15625,0,0,0,0,0
350,srd,2.07527,0.15625,0.910253,0.281473,0.7978,0.821514,0
350,srd_f,2.07177,0.15625,0.861938,0.865022,0.866664,0.865578,0
