step,exact,kimi,srd,srd_f
1,5.54986,5.5493,5.54983,5.54983
2,5.42202,5.42553,5.42247,5.42244
3,5.30445,5.30402,5.30467,5.30469
4,5.218,5.2147,5.21852,5.21851
5,5.11989,5.11277,5.11948,5.11946
6,5.04736,5.04524,5.04696,5.04701
7,5.00481,5.00713,5.00494,5.00495
8,4.99298,5.00038,4.9938,4.99361
9,4.9531,4.95251,4.95064,4.95077
10,4.79464,4.86415,4.7931,4.79355
11,4.87397,4.88786,4.86903,4.8694
12,4.84401,4.83967,4.84097,4.84197
13,4.76743,4.76944,4.76102,4.76179
14,4.69084,4.67979,4.67847,4.6793
15,4.76038,4.72558,4.77042,4.76916
16,4.70985,4.69573,4.71548,4.69742
17,4.72396,4.69055,4.70428,4.70109
18,4.58224,4.57348,4.57989,4.58221
19,4.64182,4.64368,4.65166,4.64755
20,4.62231,4.61374,4.61533,4.62016
21,4.63697,4.61295,4.6242,4.62621
22,4.57513,4.56871,4.576,4.57586
23,4.59214,4.58033,4.5815,4.58477
24,4.60731,4.58613,4.60809,4.60182
25,4.57847,4.57579,4.57473,4.61941
26,4.59054,4.58028,4.59624,4.58686
27,4.59633,4.57326,4.58396,4.57771
28,4.53802,4.52496,4.535,4.53477
29,4.55222,4.55084,4.55755,4.55656
30,4.53202,4.5232,4.5254,4.51879
31,4.57868,4.57286,4.57348,4.59256
32,4.54297,4.53253,4.53046,4.55047
33,4.54858,4.54107,4.53889,4.55021
34,4.54599,4.53716,4.53337,4.54836
35,4.53296,4.5303,4.54887,4.53802
36,4.55906,4.56011,4.55206,4.56337
37,4.54404,4.54038,4.54359,4.53765
38,4.57551,4.56994,4.57259,4.57231
39,4.53028,4.527,4.52802,4.52434
40,4.52887,4.52909,4.52738,4.53463
41,4.48135,4.4782,4.47991,4.48703
42,4.52047,4.51866,4.52435,4.52262
43,4.50348,4.49624,4.4975,4.50189
44,4.52663,4.52957,4.53078,4.52868
45,4.52911,4.52586,4.52224,4.52669
46,4.50444,4.50327,4.50091,4.50545
47,4.53533,4.5414,4.54035,4.54334
48,4.49172,4.48691,4.48268,4.49243
49,4.50791,4.49952,4.49435,4.49922
50,4.53104,4.52986,4.52345,4.53315
51,4.54182,4.53992,4.53899,4.53857
52,4.57107,4.56818,4.56591,4.56979
53,4.53037,4.52952,4.52858,4.5318
54,4.55822,4.55865,4.55805,4.55881
55,4.5252,4.50859,4.50272,4.51267
56,4.49756,4.49578,4.49242,4.50982
57,4.48116,4.48069,4.48183,4.47882
58,4.50579,4.50691,4.50619,4.50486
59,4.50556,4.50218,4.50569,4.51477
60,4.55806,4.555,4.55222,4.57095
61,4.52471,4.52277,4.51757,4.52697
62,4.54229,4.54293,4.53764,4.54781
63,4.5051,4.50754,4.50977,4.51756
64,4.52356,4.52356,4.52618,4.51861
65,4.51355,4.51619,4.51266,4.518
66,4.50649,4.50761,4.51184,4.51139
67,4.52868,4.51339,4.51062,4.50486
68,4.52202,4.52496,4.52458,4.52747
69,4.47774,4.48394,4.48432,4.49172
70,4.54612,4.5155,4.51927,4.5147
71,4.535,4.53328,4.53518,4.53432
72,4.53068,4.5298,4.52645,4.52112
73,4.50109,4.5004,4.49716,4.49706
74,4.51309,4.50836,4.50851,4.51045
75,4.52175,4.51697,4.51289,4.52866
76,4.50432,4.49946,4.50185,4.50419
77,4.50899,4.51179,4.50652,4.51025
78,4.47768,4.49829,4.47769,4.4766
79,4.53619,4.54081,4.53723,4.5367
80,4.47847,4.46886,4.46875,4.46892
81,4.52042,4.51586,4.52151,4.52209
82,4.52113,4.52069,4.52381,4.51959
83,4.52857,4.5335,4.53629,4.52877
84,4.50358,4.49004,4.49189,4.49004
85,4.47638,4.47686,4.47969,4.47798
86,4.46124,4.4598,4.45894,4.45584
87,4.50408,4.50882,4.50634,4.50091
88,4.48671,4.489,4.48802,4.48073
89,4.51145,4.51676,4.51652,4.5272
90,4.52271,4.52915,4.52713,4.53478
91,4.48932,4.49107,4.49275,4.49445
92,4.51759,4.52208,4.52132,4.52199
93,4.4954,4.49451,4.49279,4.49719
94,4.49004,4.49072,4.4877,4.49849
95,4.50779,4.50565,4.50642,4.51108
96,4.51241,4.51048,4.50877,4.51647
97,4.50513,4.50176,4.50042,4.50827
98,4.49738,4.49775,4.5001,4.5069
99,4.50976,4.4895,4.48743,4.49302
100,4.53469,4.53078,4.53231,4.53785
101,4.52088,4.52043,4.51938,4.52677
102,4.50309,4.50119,4.50406,4.49716
103,4.50181,4.50261,4.5001,4.50452
104,4.49847,4.49531,4.49644,4.49635
105,4.50686,4.50923,4.50803,4.50926
106,4.50133,4.50387,4.49798,4.49971
107,4.49523,4.49223,4.49228,4.49217
108,4.50916,4.5151,4.51198,4.50407
109,4.51118,4.50472,4.50524,4.50385
110,4.49843,4.49639,4.4972,4.49785
111,4.48877,4.48609,4.48219,4.47585
112,4.47077,4.47336,4.47142,4.47637
113,4.50722,4.49634,4.49717,4.50103
114,4.51321,4.51443,4.51492,4.54102
115,4.52644,4.517,4.52085,4.5254
116,4.49375,4.48541,4.48535,4.48825
117,4.48947,4.49269,4.49297,4.49529
118,4.47319,4.47681,4.47585,4.49921
119,4.56122,4.56056,4.5579,4.56577
120,4.47493,4.47265,4.47296,4.47775
121,4.49073,4.49484,4.49453,4.49509
122,4.49463,4.49138,4.49308,4.50678
123,4.4914,4.48514,4.48494,4.49339
124,4.53892,4.49709,4.49594,4.50161
125,4.50585,4.50002,4.50252,4.50054
126,4.51315,4.50749,4.50966,4.50403
127,4.49855,4.49664,4.49667,4.49449
128,4.51031,4.50437,4.50659,4.50691
129,4.50415,4.50063,4.50267,4.49605
130,4.46386,4.4621,4.46318,4.4632
131,4.51035,4.51352,4.51379,4.51386
132,4.49778,4.49614,4.49523,4.49524
133,4.47128,4.4695,4.47101,4.47524
134,4.49637,4.49744,4.49519,4.49865
135,4.52105,4.52529,4.52181,4.52287
136,4.50862,4.50731,4.50878,4.50605
137,4.49741,4.50181,4.49932,4.50276
138,4.49585,4.4966,4.49534,4.49333
139,4.46974,4.47272,4.47248,4.47067
140,4.45866,4.45628,4.45627,4.45707
141,4.48717,4.48763,4.48633,4.49112
142,4.49017,4.49457,4.49185,4.49218
143,4.50625,4.50317,4.50531,4.5068
144,4.50213,4.50103,4.50149,4.50166
145,4.49628,4.49684,4.49402,4.49794
146,4.50835,4.50768,4.50825,4.5113
147,4.51106,4.51058,4.50991,4.51153
148,4.51351,4.5114,4.51218,4.51427
149,4.50504,4.50556,4.50511,4.50697
150,4.50118,4.4986,4.49863,4.50037
151,4.48417,4.48737,4.48348,4.48741
152,4.48136,4.47965,4.47953,4.48212
153,4.51326,4.50719,4.5118,4.51197
154,4.49599,4.49296,4.49423,4.49886
155,4.5214,4.51481,4.51696,4.52003
156,4.51595,4.51622,4.51554,4.52435
157,4.46639,4.45965,4.45733,4.45845
158,4.51076,4.50902,4.50841,4.51061
159,4.51343,4.51148,4.51139,4.51243
160,4.49726,4.49653,4.49845,4.50085
161,4.48587,4.48735,4.48478,4.48366
162,4.50696,4.50972,4.50876,4.5085
163,4.47832,4.47944,4.47933,4.48014
164,4.47823,4.48124,4.48252,4.50099
165,4.50896,4.51056,4.50865,4.51228
166,4.47771,4.47803,4.47886,4.48145
167,4.49073,4.48593,4.48934,4.4914
168,4.4872,4.48597,4.48833,4.48655
169,4.52835,4.5236,4.52311,4.55921
170,4.5029,4.50516,4.50435,4.52464
171,4.49234,4.49274,4.49304,4.53069
172,4.50386,4.50602,4.49963,4.50593
173,4.5003,4.49695,4.49683,4.50087
174,4.48147,4.47861,4.47944,4.49028
175,4.50563,4.48803,4.4875,4.49473
176,4.489,4.48673,4.4888,4.49247
177,4.46034,4.46043,4.46177,4.46292
178,4.48601,4.48518,4.48664,4.492
179,4.47765,4.47564,4.47702,4.4804
180,4.50588,4.49646,4.49717,4.50009
181,4.48215,4.48121,4.47975,4.48431
182,4.51014,4.50911,4.51034,4.51382
183,4.50179,4.4958,4.49637,4.49734
184,4.46096,4.45902,4.46092,4.46222
185,4.5249,4.52039,4.52148,4.52086
186,4.49765,4.49741,4.49784,4.49919
187,4.51293,4.50578,4.5072,4.51047
188,4.48426,4.47868,4.4797,4.47981
189,4.51048,4.50842,4.51111,4.50864
190,4.51786,4.51485,4.51627,4.51745
191,4.47743,4.47557,4.47537,4.47708
192,4.46948,4.47254,4.47003,4.4736
193,4.52954,4.53176,4.52803,4.5299
194,4.49712,4.50107,4.50285,4.50074
195,4.48427,4.48558,4.48547,4.48519
196,4.488,4.48574,4.48468,4.48185
197,4.47511,4.4779,4.47875,4.47911
198,4.49896,4.50267,4.50305,4.50793
199,4.51504,4.51705,4.51846,4.52049
200,4.47068,4.47285,4.47511,4.47062
201,4.49751,4.49498,4.49482,4.49363
202,4.4692,4.46803,4.46472,4.4691
203,4.49512,4.49246,4.49328,4.49496
204,4.51013,4.50831,4.50658,4.50759
205,4.50474,4.50859,4.50721,4.51024
206,4.52294,4.52327,4.52474,4.52418
207,4.47703,4.47965,4.47457,4.47916
208,4.48352,4.48716,4.4868,4.49088
209,4.50133,4.4981,4.49719,4.49725
210,4.51236,4.51334,4.51016,4.5119
211,4.48609,4.48513,4.48361,4.48342
212,4.46347,4.46141,4.4626,4.46131
213,4.48223,4.47511,4.4747,4.49252
214,4.46661,4.46352,4.46377,4.46817
215,4.49683,4.49385,4.49508,4.49535
216,4.48434,4.48311,4.48523,4.48503
217,4.48483,4.48356,4.4856,4.48322
218,4.46854,4.4712,4.46873,4.4704
219,4.48823,4.48799,4.48749,4.51115
220,4.49941,4.49838,4.49844,4.49731
221,4.47135,4.47149,4.47006,4.47344
222,4.47784,4.48048,4.47937,4.47875
223,4.49681,4.49847,4.5006,4.50222
224,4.47689,4.46838,4.47149,4.47139
225,4.47273,4.47557,4.4743,4.47341
226,4.49545,4.49623,4.49669,4.4986
227,4.47502,4.47519,4.47407,4.47662
228,4.52239,4.5238,4.52188,4.52512
229,4.49564,4.50007,4.49953,4.50174
230,4.50186,4.50079,4.49977,4.50192
231,4.47706,4.47784,4.4753,4.47801
232,4.4876,4.48544,4.48498,4.48794
233,4.49683,4.49231,4.49283,4.49121
234,4.47592,4.4724,4.47366,4.47522
235,4.48548,4.48822,4.49111,4.49232
236,4.49397,4.48814,4.48725,4.49027
237,4.47189,4.46927,4.46925,4.4681
238,4.47047,4.46647,4.46762,4.49324
239,4.48651,4.48346,4.48458,4.48539
240,4.47616,4.47815,4.47673,4.47759
241,4.49614,4.4998,4.49584,4.49571
242,4.46327,4.46162,4.4647,4.46132
243,4.48394,4.48573,4.48375,4.48354
244,4.48507,4.4864,4.48643,4.48711
245,4.4876,4.48962,4.48749,4.48854
246,4.47966,4.47978,4.47786,4.47827
247,4.50454,4.50481,4.5041,4.50319
